CommandId,Label,Roles,ActionType,Reference,Shortcut,Description,Icon,Actions,Objects,Fields,Weight
all-doc-id-contains-form,Document ID Contains -- Unfiltered,,FORM,all-doc-id-contains-form,,Select documents containing the given string.  List is unfiltered.,,Read;List;Select;Search,Documents,Document ID,
all-docs-by-br-tr-node-form,Docs By Browsing Tree Node -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-docs-by-br-tr-node-form,,Select all of the documents via selection of a browsing tree node.,,Read;List;Select;Search,Documents;Tag Browsing Trees,TagBrowsingTrees;Tags,
all-docs-by-co-ms-attr-form,Docs for Common Object Multi-Select Attribute -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-docs-by-co-ms-attr-form,,List all the metadata for documents for a given common object multi-select attribute.,,Read;List;Select;Search,Documents,CommonObjectListName,
all-docs-by-co-rb-attr-form,Docs for Common Object Radio Button Attribute -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-docs-by-co-rb-attr-form,,List all the metadata for documents for a given common object radio button attribute. Does not list associated files and does not apply a filter group.,,Read;List;Select;Search,Documents;Files,CommonObjectListName,
all-docs-by-dty-funct-form,Docs By Duty Function -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-docs-by-dty-funct-form,,Select metadata for documents linked to a given duty function.  No filter group is applied.,,Read;List;Select;Search,Documents,DutyFunctionField,
all-docs-by-file-form,Documents for File -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-docs-by-file-form,,Select all documents associated with a specific file.,,Read;List;Select;Search,Documents;Files,File ID,
all-docs-by-fnct-list-name-form,Docs By Function List General Field Name -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-docs-by-fnct-list-name-form,,List documents for a duty function list related general field name.  No filter group is applied.,,Read;List;Select;Search,Documents,DutyFunctionList;GeneralFieldName,
all-docs-by-funct-fld-name-form,Docs By Duty Function General Field Name -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-docs-by-funct-fld-name-form,,List documents for a duty function related general field name.  No filter group is applied.,,Read;List;Select;Search,Documents,DutyFunctionField;GeneralFieldName,
all-docs-by-funct-lst-form,Docs By Function List -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-docs-by-funct-lst-form,,Select metadata for documents linked to a given function list.,,Read;List;Select;Search,Documents,DutyFunctionList,
all-docs-by-people-lst-form,Docs By People List -- Unfiltered,Controller;Editor;Reader;Reviewer,FORM,all-docs-by-people-lst-form,,Select metadata for documents linked to a given people list.,,Read;List;Select;Search,Documents,PeopleList,
