FormFieldID,FieldLabel,Length,CharacterLimit,DataType,DefaultValue,PopulationType,Reference,ParameterId,IdAlias,NameAlias,Placeholder,HelpText
AllFileGroupID,File Group ,50,,ID,,API_DROPDOWN,file-group-names,fileGroupId,File Group ID,File Group Name,,Lists all file groups.
Attribute1,Attribute 1,20,,TEXT,,DIRECT_ENTRY,,attribute1,,,,
Attribute2,Attribute 2,20,,TEXT,,DIRECT_ENTRY,,attribute2,,,,
Attribute3,Attribute 3,20,,TEXT,,DIRECT_ENTRY,,attribute3,,,,
AttributeName,Attribute Name,20,,TEXT,,DIRECT_ENTRY,,attributeName,,,,
BookingComments,Comments,50,,TEXT,,DIRECT_ENTRY,,comments,,,,
BookInReleaseNum,Booked In Release Number,10,,TEXT,,DIRECT_ENTRY,,releaseNum,,,,
BrowsingTreeName,Browsing Tree Name,20,,TEXT,,DIRECT_ENTRY,,browsingTreeName,,,,
CommonObjectAttr,Common Object Attribute,20,,ID,,API_DROPDOWN,com-obj-attributes,commonObjAttrId,Common Object Attribute ID,Common Object Attribute Name,,
CommonObjectID,Common Object,20,,ID,,API_DROPDOWN,all-common-objects,commonObjectId,Common Object ID,Common Object Name,,
CommonObjectIDbyList,Common Object by List,20,,ID,,LOOKUP_FORM,com-obj-by-list-form,commonObjectId,Common Object ID,Common Object Name,,
CommonObjectIDDocRBDefault,Default Doc Rradio Button Common Object,20,,ID,,LOOKUP_FORM,com-obj-by-list-form,defaultDocRadioButtonAttributeId,Common Object ID,Common Object Name,,
CommonObjectIDFileRBDefault,Default File Rradio Button Common Object,20,,ID,,LOOKUP_FORM,com-obj-by-list-form,defaultFileRadioButtonAttributeId,Common Object ID,Common Object Name,,
CommonObjectListID,Common Object List,20,,ID,,API_DROPDOWN,common-object-list-names,commonObjectListId,Common Object List ID,Common Object List Name,,
Contains,Contains,20,,TEXT,,DIRECT_ENTRY,,containsString,,,,
ControllerDocGrpNames,Controller Document Group,20,,ID,,API_DROPDOWN,contr-doc-group-names,controllerDocEditGroupNameId,Controller Doc Group ID,Controller Doc Group Name,,
ControllerDocGrpNamesRestr,Controller Document Group,20,,ID,,API_DROPDOWN,contr-doc-groups-restr,controllerDocEditGroupNameId,Controller Doc Group ID,Controller Doc Group Name,,Lists controller document group names for which the connected user has rights.
ControllerFileGrpNames,Controller File Group,20,,ID,,API_DROPDOWN,contr-file-group-names,controllerFileEditGroupNameId,Controller File Group ID,Controller File Group Name,,
ControllerFileGrpNamesRestr,Controller File Group,20,,ID,,API_DROPDOWN,contr-file-groups-rstr,controllerFileEditGroupNameId,Controller File Group ID,Controller File Group Name,,Lists controller file group names for which the connected user has rights.
CrossRefDocID,Document ID,20,,ID,,MENU,MenuFindDocID,crossReferenceDocId,Document ID,Document ID,,
CrossRefTypes,Cross-Reference,20,,ID,,API_DROPDOWN,xref-types,crossReferenceTypeId,Cross-Reference ID,Cross-Reference Name,,
Date1,Date 1,12,,DATE,,CALENDAR,,date1,,,,
Date2,Date 2,12,,DATE,,CALENDAR,,date2,,,,
Date3,Date 3,12,,DATE,,CALENDAR,,date3,,,,
DateVal,Date Value,12,,DATE,,CALENDAR,,dateValue,,,,
DefaultDocRadioButtonID,Doc Radio Button ,20,,ID,,LOOKUP_FORM,list-doc-radio-buttons-by-list,defaultDocRadioButtonAttributeId,Doc Radio Button Attribute ID,Doc Radio Button Attribute Name,,
