FormId,FormFieldId,IsMandatory,Order
all-doc-id-contains-form,Contains,Y,1
all-doc-id-contains-form,FormID,N,4
all-docs-by-br-tr-node-form,TagBrowTreeNodeID,Y,1
all-docs-by-br-tr-node-form,TagDescendants,N,2
all-docs-by-br-tr-node-form,TagTreeID,N,3
all-docs-by-br-tr-node-form,FormID,N,4
all-docs-by-co-ms-attr-form,CommonObjectListID,Y,1
all-docs-by-co-ms-attr-form,CommonObjectIDbyList,Y,2
all-docs-by-co-ms-attr-form,FormID,N,3
all-docs-by-co-rb-attr-form,CommonObjectListID,Y,1
all-docs-by-co-rb-attr-form,CommonObjectIDbyList,Y,2
all-docs-by-co-rb-attr-form,FormID,N,3
all-docs-by-date-any-form,DocDateName,Y,1
all-docs-by-dty-funct-form,DutyFunctionID,Y,1
all-docs-by-dty-funct-form,FormID,N,2
all-docs-by-file-form,FileIDByMenu,Y,1
all-docs-by-file-form,FormID,N,2
all-docs-by-fnct-list-name-form,GeneralFieldNameID,Y,1
all-docs-by-fnct-list-name-form,FormID,N,2
all-docs-by-funct-fld-name-form,GeneralFieldNameID,Y,1
all-docs-by-funct-fld-name-form,FormID,N,2
all-docs-by-funct-lst-form,FunctionListID,Y,1
all-docs-by-funct-lst-form,FormID,N,2
all-docs-by-people-lst-form,PeopleListID,Y,1
all-docs-by-people-lst-form,FormID,N,2
all-docs-by-ppl-list-name-form,GeneralFieldNameID,Y,1
all-docs-by-ppl-list-name-form,FormID,N,2
all-docs-by-radio-btn-form,DocRBAttrID,Y,1
all-docs-by-radio-btn-form,FormID,N,2
all-docs-by-tag-form,TagID,Y,1
all-docs-by-tag-form,TagTreeID,N,2
all-docs-by-tag-form,TagDescendants,N,3
all-docs-by-tag-form,FormID,N,4
all-docs-by-text-field-any-form,DocTextFieldID,Y,1
all-docs-by-text-field-form,DocTextFieldID,Y,1
all-docs-by-text-field-form,Like,Y,2
all-docs-by-text-field-form,FormID,N,3
all-docs-by-user-fgn-form,GeneralFieldNameID,Y,1
all-docs-by-user-fgn-form,FormID,N,2
all-docs-by-user-form,UserID,Y,1
all-docs-by-user-form,FormID,N,2
all-docs-date-after-form,DocDateName,Y,1
all-docs-date-after-form,DocDateVal,Y,2
all-docs-date-after-form,FormID,N,3
all-docs-date-before-form,DocDateName,Y,1
all-docs-date-before-form,DocDateVal,Y,2
all-docs-date-before-form,FormID,N,3
all-docs-date-between-form,DocDateName,Y,1
all-docs-date-between-form,EarlierDate,Y,2
all-docs-date-between-form,LaterDate,Y,3
all-docs-date-between-form,FormID,N,4
all-docs-date-equals-form,DocDateName,Y,1
all-docs-date-equals-form,DocDateVal,Y,2
all-docs-date-equals-form,FormID,N,3
all-docs-int-any-form,DocIntegerField,Y,1
all-docs-int-between-form,DocIntegerField,Y,1
all-docs-int-between-form,LowerIntVal,Y,2
all-docs-int-between-form,UpperIntVal,Y,3
all-docs-int-between-form,FormID,N,4
all-docs-int-equals-form,DocIntegerField,Y,1
all-docs-int-equals-form,IntegerValue,Y,2
all-docs-int-equals-form,FormID,N,3
all-docs-int-grtr-than-form,DocIntegerField,Y,1
all-docs-int-grtr-than-form,IntegerValue,Y,2
all-docs-int-grtr-than-form,FormID,N,3
all-docs-int-less-than-form,DocIntegerField,Y,1
all-docs-int-less-than-form,IntegerValue,Y,2
all-docs-int-less-than-form,FormID,N,3
all-docs-multi-sel-atr-form,DocMSListID,Y,1
all-docs-multi-sel-atr-form,DocMSAttribute,Y,2
all-docs-multi-sel-atr-form,FormID,N,3
all-docs-real-any-form,DocRealFieldID,Y,1
all-docs-real-between-form,DocRealFieldID,Y,1
all-docs-real-between-form,LowerRealVal,Y,2
all-docs-real-between-form,UpperRealNumVal,Y,3
all-docs-real-between-form,FormID,N,4
all-docs-real-equals-form,DocRealFieldID,Y,1
all-docs-real-equals-form,RealValue,Y,2
all-docs-real-equals-form,FormID,N,3
all-docs-real-greater-form,DocRealFieldID,Y,1
all-docs-real-greater-form,RealValue,Y,2
all-docs-real-greater-form,FormID,N,3
all-docs-real-less-form,DocRealFieldID,Y,1
all-docs-real-less-form,RealValue,Y,2
all-docs-real-less-form,FilterGroupID,N,3
all-docs-real-less-form,FormID,N,4
all-docs-with-ed-perm-form,FormID,N,1
all-documents-form,FormID,N,1
all-doc-xrefs-by-doc-form,DocIDByMenu,Y,1
all-doc-xrefs-by-doc-form,CrossRefTypes,Y,2
all-doc-xrefs-by-doc-form,FormID,N,3
all-file-contains-search,Contains,Y,1
all-file-contains-search,FormID,N,3
all-file-contains-search-with-docs,Contains,Y,1
all-file-contains-search-with-docs,FormID,N,2
all-file-contains-table-search,Contains,Y,1
all-file-contains-table-search,FormID,N,2
all-file-contains-table-search-with-docs,Contains,Y,1
all-file-contains-table-search-with-docs,FormID,N,2
all-file-freetext-search,Contains,Y,1
all-file-freetext-search,FormID,N,2
all-file-freetext-search-with-docs,Contains,Y,1
all-file-freetext-search-with-docs,FormID,N,2
all-file-freetext-table-search,Contains,Y,1
all-file-freetext-table-search,FormID,N,2
all-file-freetext-table-search-with-docs,Contains,Y,1
all-file-freetext-table-search-with-docs,FormID,N,2
all-files-by-date-any-form,FileDateVal,Y,1
all-files-by-date-any-form,FormID,N,2
all-files-by-dty-funct-form,DutyFunctionID,Y,1
all-files-by-dty-funct-form,FormID,N,2
all-files-by-file-grp-form,FileGroupIDAll,Y,1
all-files-by-file-grp-form,FormID,N,2
all-files-by-fnct-list-name-form,GeneralFieldNameID,Y,1
all-files-by-fnct-list-name-form,FormID,N,2
all-files-by-funct-fld-name-form,GeneralFieldNameID,Y,1
all-files-by-funct-fld-name-form,FormID,N,2
all-files-by-funct-lst-form,FunctionListID,Y,1
all-files-by-funct-lst-form,FormID,N,2
all-files-by-ms-list-form,FileMSListID,Y,1
all-files-by-ms-list-form,FileMultiSelectAttributeId,Y,2
all-files-by-ms-list-form,FormID,N,3
all-files-by-pple-list-field-name-form,GeneralFieldNameID,Y,1
all-files-by-pple-list-field-name-form,FormID,N,2
all-files-by-pple-list-form,PeopleListID,Y,1
all-files-by-pple-list-form,FormID,N,2
all-files-by-radio-btn-form,FileRBAttrID,Y,1
all-files-by-radio-btn-form,FormID,N,2
all-files-by-text-field-any-form,FileFreeTextFieldNameID,Y,1
all-files-by-text-field-any-form,FormID,N,3
all-files-by-txt-field-form,FileFreeTextFieldNameID,Y,1
all-files-by-txt-field-form,Like,Y,2
all-files-by-txt-field-form,FormID,N,3
all-files-by-user-fgn-form,GeneralFieldNameID,Y,1
all-files-by-user-fgn-form,FormID,N,2
all-files-by-user-form,UserID,Y,1
all-files-by-user-form,FormID,N,2
all-files-date-after-form,FileDateFieldID,Y,1
all-files-date-after-form,DateVal,Y,2
all-files-date-after-form,FormID,N,3
all-files-date-before-form,FileDateFieldID,Y,1
all-files-date-before-form,DateVal,Y,2
all-files-date-before-form,FormID,N,3
all-files-date-between-form,FileDateFieldID,Y,1
all-files-date-between-form,EarlierDate,Y,2
all-files-date-between-form,LaterDate,Y,3
all-files-date-between-form,FormID,N,4
all-files-date-equals-form,FileDateFieldID,Y,1
all-files-date-equals-form,DateVal,Y,2
all-files-date-equals-form,FormID,N,3
all-files-for-one-doc-form,DocIDByMenu,Y,1
all-files-for-one-doc-form,FormID,N,2
all-files-int-any-form,FileIntFieldID,Y,1
all-files-int-any-form,FormID,N,2
all-files-int-between-form,FileIntFieldID,Y,1
all-files-int-between-form,LowerIntVal,Y,2
all-files-int-between-form,UpperIntVal,Y,3
all-files-int-between-form,FormID,N,4
all-files-int-equals-form,FileIntFieldID,Y,1
all-files-int-equals-form,IntegerValue,Y,2
all-files-int-equals-form,FormID,N,3
all-files-int-grtr-than-form,FileIntFieldID,Y,1
