HelpId,Title,ParentHelpId,ContentFile,Role,Order,LastUpdated,Description
introduction,Introduction,,introduction.md,,1,23 02 2026,Introduction to Elyse
interface,User Interface Basics,,basic-user-interface.md,,2,23 02 2026,User interface basics
basic-searching,Basic Searching,,basic-searching.md,,3,23 02 2026,Explanation of basic functions for searching documents and files.
command-palette,The Command Palette,,command-palette.md,,4,23 02 2026,Explanation of the command palette.
introduction-to-tags-bs,Introduction to Tags,,introduction-to-tags.md,,5,23 02 2026,Introduction to Elyse tags.
metadata-types,Elyse Metadata Basics,,metadata-types.md,,6,23 02 2026,Introduction to Elyse metadata types.
advanced-searching,Advanced Searching,,advanced-searching.md,Reader;Reviewer;Editor;Controller;Configurator,7,11 06 2026,Explanation of advanced searching functions
onboarding,Onboarding,,onboarding.md,,8,23 02 2026,Explanation of the role selection feature.
role-selection,Role Selection,,role-selection.md,,9,23 02 2026,Explanation of the role selection feature.
reader-level,Reader Level Role,,reader-level.md,Reader;Reviewer;Editor;Controller,12,23 02 2026,Overview of Reader level role privileges.
reviewer-level,Reviewer Level Role,,reviewer-level.md,Reviewer;Editor,14,23 02 2026,Explanation of the reviewer level role.
editor-level,Editor Level Role,,editor-level.md,Editor,16,23 02 2026,Explanation of the Editor level role.
controller-level,Controller Level Role,,controller-level.md,Controller,18,23 02 2026,Explanation of Controller level role.
configurator-level,Configurator Level Role,,configurator-level.md,Configurator,20,23 02 2026,Explanation of the Configurator level role.
authorizer-level,Authorizer Level Role,,authorizer-level.md,Authorizer,22,23 02 2026,Explanation of the Authorizer level role
creating-document-ids-cl,Creating Document IDs,,creating-document-ids.md,Editor;Controller,24,23 02 2026,Explanation of options for creating document IDs.
loading-files-st,Loading Files,,loading-files.md,Editor;Controller,26,23 02 2026,Explanation of functions for loading files.
release-management,Release Management,,release-management.md,Editor;Controller,27,09 07 2026,Explanation of document release management.
filter-groups-conf,Filter Groups,,filter-groups.md,Reader;Reviewer;Editor;Controller;Configurator,28,23 02 2026,Explanation of filter groups.
tag-management-el,Tag Management,,tag-management.md,Editor;Controller,30,23 02 2026,Explanation of tag and tag tree management.
document-groups-al,Document Groups,,document-groups.md,Editor;Controller;Authorizer,32,23 02 2026,Explanation of document groups.
file-groups-cl,File Groups,,file-groups.md,Editor;Controller;Authorizer,34,14 06 2026,Explanation of file groups.
controller-groups-al,Controller Groups,,controller-groups.md,Controller;Authorizer,36,23 02 2026,Explanation of controller groups.
user-related-lists-cl,User-Related Lists,,user-related-lists.md,Editor;Controller,38,14 06 2026,Explanation of user-related lists including duty functions and people lists.
booking-management,Booking Management,,booking-management.md,Editor;Controller,40,23 02 2026,Explanation of booking management.
document-group-editor-permissions-cl,Document Group Editor Permissions,,document-group-editor-permissions.md,Editor;Controller,42,14 06 2026,Explanation of document group editor level permissions.
file-group-editor-permissions-cl,File Group Editor Permissions,,file-group-editor-permissions.md,Editor;Controller,44,14 06 2026,Explanation of file group editor level permissions.
file-viewing-rv,File Viewing Rights,,file-viewing-rights.md,Reader;Reviewer;Editor;Controller,46,23 02 2026,Explanation of file viewing rights.
audit-logs-al,Audit Logs,,audit-logs.md,Editor;Controller;Authorizer,46,23 02 2026,Explanation of audit logs.
forms-conf,Forms,,forms.md,Editor;Controller;Configurator,48,23 02 2026,Explanation of forms.
workflow-management-conf,Workflow Management,,workflow-management.md,Reviewer;Editor;Controller;Configurator,48,23 02 2026,Explanation of workflow management.
demo-primer,Demo Database Primer,,demo-primer.md,,60,14 06 2026,A primer introduction to Elyse using the demonstration database.
what-is,What Is a Controlled Document,,what-is-a-controlled-document.md,,62,23 02 2026,Explanation of how controlled documents differ from other types of documents.
