MenuItemId,Label,ParentMenu,Roles,ActionType,Reference,Shortcut,Order,Description,Icon
ContFileGroups,Controller File Groups,AuthControllerGroups,Authorizer,,,,,,
ContDocumentGroups,Document Groups Management,AuthControllerGroups,Authorizer,,,,,,
rid-auth-doc-group-viewer-form-1,Authorize User for Viewing Restricted Doc Group,AuthDocGroupManagement,Authorizer,FORM,rid-auth-doc-group-viewer-form,,2,Authorise a user to view a restricted document group.,
rid-del-doc-group-viewer-perm-form,Revoke Doc Group View Permission,AuthDocGroupManagement,Authorizer,FORM,rid-del-doc-group-viewer-perm-form,,3,Delete a document group view permission record.,
ReadRevokeLog-3,Revoke Log,AuthDocGroupManagement,Authorizer,READ,read-revoke-log,,4,List the contents of the privileges revoke log.,
rid-upd-doc-group-viewer-notes-form,Update Doc Viewer Group Permission Notes,AuthDocGroupManagement,Authorizer,FORM,rid-upd-doc-group-viewer-notes-form,,5,Update the note for a document viewer group permission record.,
ListAllDocGroupNames,All Document Group Names,AuthDocGroupManagement,Authorizer,READ,all-doc-group-names,,1,List all document group names.,
DocGroupViewers,Document Group Viewers,AuthDocGroupManagement,Authorizer,READ,all-doc-group-viewers,,8,List all document group viewers.,
ListAllFormGroups2,Form Groups,AuthFormGroupManagement,Authorizer,READ,all-form-groups,,1,Select all form groups.,
ListAllFormGroupOwners,Form Group Owners,AuthFormGroupManagement,Authorizer,READ,all-form-group-owners,,1,List all form group owners.,
rid-auth-form-group-owner-form,Authorize Form Group Owner,AuthFormGroupManagement,Authorizer,FORM,rid-auth-form-group-owner-form,,2,Authorise a user a a form group owner.,
ReadRevokeLog-4,Revoke Log,AuthFormGroupManagement,Authorizer,READ,read-revoke-log,,3,List the contents of the privileges revoke log.,
rid-del-form-group-owner-form,Delete Form Owner Group,AuthFormGroupManagement,Authorizer,FORM,rid-del-form-group-owner-form,,3,Delete a form owner group record.,
rid-upd-form-group-owner-form,Update Form Group Owner Authorisation,AuthFormGroupManagement,Authorizer,FORM,rid-upd-form-group-owner-form,,4,Update a form group owner authorisation.,
AuthUserManagement,User Management,AuthorisationMenu,Authorizer,,,,1,,
AuthFormGroupManagement,Form Groups Management,AuthorisationMenu,Authorizer,,,,2,,
AuthDocGroupManagement,Document Groups Management,AuthorisationMenu,Authorizer,,,,3,,
AuthControllerGroups,Controller Groups Management,AuthorisationMenu,Authorizer,,,,4,,
AuthoriserManagement,Authorizer Management,AuthorisationMenu,Authorizer,,,,5,,
AuthoriserRequests,Authorizer Requests,AuthoriserManagement,Authorizer,READ,authoriser-requests,,1,List Authorizer requests,
Authorisers,Lists Authorizers,AuthoriserManagement,Authorizer,READ,authorisers,,2,List Authorizers ,
ReadRevokeLog,Revoke Log,AuthoriserManagement,Authorizer,READ,read-revoke-log,,3,List the contents of the privileges revoke log.,
rid-ins-grant-authoriser-form,Grant Authorizer,AuthoriserManagement,Authorizer,FORM,rid-ins-grant-authoriser-form,,4,Grant Authorizer privileges to a user.,
rid-ins-revoke-authoriser-form,Revoke Authorizer,AuthoriserManagement,Authorizer,FORM,rid-ins-revoke-authoriser-form,,5,Revoke Authorizer privileges from a user.,
rid-upd-cancel-authoriser-requ-form,Cancel Authorizer Request,AuthoriserManagement,Authorizer,FORM,rid-upd-cancel-authoriser-requ-form,,6,Cancel an Authorizer request.,
all-recent-sids-form-AUM,Recent Users,AuthUserManagement,Authorizer,FORM,all-recent-sids-form,,1,Select all recently added users.,
UsersContains-6,Users By Name,AuthUserManagement,Authorizer,FORM,list-users-contains,,2,Search for users whose username contains a given string,
ListAllUsers,List All Users,AuthUserManagement,Authorizer,READ,all-users,,2,List all users in the system.,
UsersByRole-AUM,Users By Role,AuthUserManagement,Authorizer,FORM,list-users-by-roles,,3,List the users for a given role.,
ReadRevokeLog-5,Revoke Log,AuthUserManagement,Authorizer,READ,read-revoke-log,,3,List the contents of the privileges revoke log.,
read-privileges-by-user-form,Privileges By User,AuthUserManagement,Authorizer,FORM,read-privileges-by-user-form,,4,List privileges for a given user.,
rid-auth-user-role-form,Authorize User Role,AuthUserManagement,Authorizer,FORM,rid-auth-user-role-form,,5,Authorise a user role.,
rid-del-sid-form,Delete User,AuthUserManagement,Authorizer,FORM,rid-del-sid-form,,6,De-activate a user,
rid-restore-sid-form,Restore User,AuthUserManagement,Authorizer,FORM,rid-restore-sid-form,,7,Restore a de-activated user,
rid-del-user-role-form,Revoke User Role,AuthUserManagement,Authorizer,FORM,rid-del-user-role-form,,8,Delete a user role.,
rid-upd-sid-form-1,Update User,AuthUserManagement,Authorizer,FORM,rid-upd-sid-form,,9,Update a user ID record.,
rid-auth-doc-group-viewer-form-2,Authorize User for Viewing Restricted Doc Group,AuthUserManagement,Authorizer,FORM,rid-auth-doc-group-viewer-form,,10,Authorise a user to view a restricted document group.,
rid-upd-user-role-link-notes-form,Update User Role Link Notes,AuthUserManagement,Authorizer,FORM,rid-upd-user-role-link-notes-form,,10,Update the record note for a user role link.,
rid-auth-contr-doc-group-user-form-2,Link User to Controller Doc Group,AuthUserManagement,Authorizer,FORM,rid-auth-contr-doc-group-user-form,,11,Link a user ID to a controller level document group to authorise the user.,
contr-doc-group-sids-form-1,Users for Controller Doc Group,AuthUserManagement,Authorizer,FORM,contr-doc-group-sids-form,,12,List user where the username contain a given string.,
contr-file-group-sids-form-1,Users for Controller File Group,AuthUserManagement,Authorizer,FORM,contr-file-group-sids-form,,13,List all of the user for a given controller level file group.,
