TableName,StoredProcedure,DataField,RouteUrl,ApiEndpoint,KeyColumns,HiddenColumns,DisplayName,DefaultSort,Role,InputParameters,OutputParameters,DisplayParameters,Description,UseTransform
all-doc-group-names,authorising.usp_SEL_all_doc_group_names,docGroupNames,/reading/all-doc-group-names,document-group/names/read,Doc Group ID::Doc Group Name,Doc Group ID,All Document Group Names,,authoriser,,transactionMessage;transactionStatus ,,Lists all document group names.,
all-doc-group-viewers,authorising.usp_SEL_all_doc_group_viewers,viewersData,/reading/all-doc-group-viewers,document-group/viewers/read,User ID::System Username;Doc Group ID::Doc Group Name,User ID;Doc Group ID,All Document Group Viewers,,authoriser,,transactionMessage;transactionStatus ;numberOfRows,,Selects all document group viewers.,
all-form-group-owners,authorising.usp_SEL_all_form_group_owners,ownersData,/reading/all-form-group-owners,form/owners/read,User ID::System Username;Form Group ID::Form Group Name,User ID;Form Group ID,All Form Group Owners,,authoriser,,transactionMessage;transactionStatus ,,Lists all form group owners.,
read-all-user-roles,authorising.usp_SEL_all_user_roles,usersRoles,/reading/read-all-user-roles,users/roles/read,Role Name::Role Name;User ID::System Username,User ID,All User Roles,,authoriser,,transactionMessage;transactionStatus;numberOfRows,,Selects all records of user role permissions from the user_role_link table.,
authoriser-requests,authorising.usp_SEL_authoriser_requests,data,/reading/authoriser-requests,authoriser-requests/read,Request ID::Request ID;User ID::System Username,User ID;Request ID;Approver 1 User ID;Approver 2 User ID,Authorizer Requests,,authoriser,,transactionMessage;transactionStatus,,Selects authoriser requests.,
authorisers,authorising.usp_SEL_authorisers,data,/reading/authorisers,authorisers/read,User ID::System Username,User ID,Authorizers,,authoriser,,transactionMessage;transactionStatus,,Selects all authorisers.,
contr-doc-group-names,authorising.usp_SEL_contr_doc_group_names,controllerDocGroupNames,/document-edit-group/controller/read,document-edit-group/controller/read,Controller Doc Group ID::Controller Doc Group Name,Controller Doc Group ID,Controller Document Group Names,,authoriser,,transactionMessage;transactionStatus ,,Reads all controller level document edit groups.,
contr-doc-group-sids,authorising.usp_SEL_contr_doc_group_sids,resultSets,/reading/contr-doc-group-sids,user/controller/document-group/sid/read,User ID::System Username;Controller Doc Group ID::Controller Doc Group ID,User ID;Controller Doc Group ID,Controller Document Group Users,,authoriser,controllerDocEditGroupNameId,transactionMessage;transactionStatus ;numRecords,Controller Document Group ID: |controllerDocEditGroupNameId,Lists all of the users for a given controller level document group.,
contr-file-group-names,authorising.usp_SEL_contr_file_group_names,controllerFileGroupNames,/file/controller-file-group/name/read,file/controller-file-group/name/read,Controller File Group ID::Controller File Group Name,Controller File Group ID,Controller File Group Names,,authoriser,,transactionMessage;transactionStatus ,,Reads all controller level file edit groups.,
contr-file-group-sids,authorising.usp_SEL_contr_file_group_sids,resultSets,/reading/contr-file-group-sids,user/controller-file-group/read,User ID::System Username;Controller File Group ID::Controller File Group ID,User ID;Controller File Group ID,Controller File Group Users. ,,authoriser,controllerFileEditGroupNameId,transactionMessage;transactionStatus ;numRecords,Controller File Group ID: | controllerFileEditGroupNameId,Lists all of the users for a given controller level file group.,
read-privileges-by-user,authorising.usp_SEL_privileges_by_user,privilegesData,/reading/privileges-by-user,privileges-by-user/read,,,Privileges by User: ,,authoriser,userId,transactionMessage;transactionStatus,| userId,Lists privileges for a given user.,
read-revoke-log,authorising.usp_SEL_revoke_log,revokeLogData,/reading/revoke-log,revoke-log/read,User ID::System Username,User ID,Revoke Log,,authoriser,,transactionMessage;transactionStatus,,Lists the entries from the privileges revoke log,
roles-by-user,authorising.usp_SEL_roles_by_user,rolesData,/roles-by-user,roles-by-user,User ID::User ID;Role Name::Role Name,User ID,Roles for User: ,,authoriser,userId,transactionMessage;transactionStatus;numberOfDocs;formName;filterGroupName,| userId,List roles for a given user,
users-by-role,authorising.usp_SEL_users_by_role,usersData,/reading/users-by-role,user/role/read,User ID::System Username;Role Name::Role Name,User ID;Role Name,Users By Role,,authoriser,roleName,transactionMessage;transactionStatus , : | roleName,Select all users for a given role (not including authorisers).,
all-people-list-names,controlling.usp_SEL_all_people_list_names,dropDownOptions,/reading/all-people-list-names,people-list-names/read-all,People List ID::People List Name,People List ID;List Position,All People List Names,,controller,,transactionMessage;transactionStatus,,Lists all people list name records.,
all-people-lists,controlling.usp_SEL_all_people_lists,ResultSets,/reading/all-people-lists,people-list/read,People List ID::People List Name;User ID::System Username,People List ID;User ID;Person List Position;Person SID Record ID;People List Mnemonic;User ID,All People Lists,,controller,,transactionMessage;transactionStatus,,Lists all people list records.,
all-recent-sids,controlling.usp_SEL_all_recent_sids,data,/reading/all-recent-sids,all-recent-sids/read,User ID::System Username,User ID,All Recently Onboarded Users,,authoriser,minutes,transactionMessage;transactionStatus;numberOfRows, : | minutes,Selects all recently active SIDs.,
all-users,controlling.usp_SEL_all_sid_list,sidList,/list-all-users,list-users,User ID::System Username,User ID,All Users,System Username,controller,,transactionMessage;transactionStatus;numberOfRows,,Selects all users.,
controller-documents,controlling.usp_SEL_contr_dc_grp_lnks_rstr,documentData,/reading/documents-for-controller,document/controller-documents/read,Document ID::Document ID,,All Documents for Document Controller,,controller,formId,transactionMessage;transactionStatus;numRows;numDocs,| formId,Selects document metadata for all documents which the controller connected user has rights to.,TRUE
contr-doc-groups-restr,controlling.usp_SEL_contr_doc_groups_restr,resultSets,/reading/contr-doc-groups-restr,user/controller/document-group/restricted/read,Controller Doc Group ID::Controller Doc Group Name,Controller Doc Group ID,Controller Document Groups Restr,,controller,,transactionMessage;transactionStatus;numRows,,Lists all of the controller level document groups that the connected user has rights to.,
contr-file-groups-rstr,controlling.usp_SEL_contr_file_groups_rstr,resultSets,/reading/contr-file-groups-rstr,user/controller-file-group/restricted/read,Controller File Group ID::Controller File Group Name,Controller File Group ID,Controller File Groups Restricted,,controller,,transactionMessage;transactionStatus;numRows,,Lists all of the controller level file groups that the connected user has rights to.,
controller-files,controlling.usp_SEL_contr_fl_grp_lnks_rstr,fileData,/reading/files-for-controller,file/controller-files/read,File ID::Filename,,All Files for Document Controller,,controller,formId,transactionMessage;transactionStatus;numRows;numFiles,| formId,Selects file metadata for all the files which a controller connected user has rights to,TRUE
controllers-form-groups,controlling.usp_SEL_controllers_form_groups,resultSets,/reading/controllers-form-groups,form/form-group/read,Form Group ID::Form Group Name,Form Group ID,Controllers Form Groups,,controller,,transactionMessage;transactionStatus,,Lists all the form groups which the connnected user (controller) owns.,
controllers-forms,controlling.usp_SEL_controllers_forms,resultSets,/reading/controllers-forms,form/form-group/edit-permission/read,Form ID::Form Name;Form Group ID::Form Group Name,Form ID;Form Group ID;List Position,Controllers Forms,,controller,,transactionMessage;transactionStatus;numberOfRows,,Lists all forms which the connected user (controller) has permission to modify.,
