Stored procedure,Authentication,Input Parameters,Data Type,"OptionalOrMandatory
",Output Parameters,Data Type,Alias,Data Type,Description
[authorising].[usp_AUTHORISE_contr_dc_grp_usr],Authoriser,@contr_doc_ed_grp_name_id,bigint,Mandatory,@message,nvarchar(1000),,,Links a user sid to a controller level document group to authorise the user.
[authorising].[usp_AUTHORISE_contr_dc_grp_usr],,@user_sid_id,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[authorising].[usp_AUTHORISE_contr_dc_grp_usr],,@inputnotes,nvarchar(max),Optional,,,,,
[authorising].[usp_AUTHORISE_contr_fl_grp_usr],Authoriser,@contr_file_ed_grp_name_id,bigint,Mandatory,@message,nvarchar(1000),,,Links a user sid to a controller level file group to authorise the user.
[authorising].[usp_AUTHORISE_contr_fl_grp_usr],,@user_sid_id,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[authorising].[usp_AUTHORISE_contr_fl_grp_usr],,@inputnotes,nvarchar(max),Optional,,,,,
[authorising].[usp_AUTHORISE_doc_group_viewer],Authoriser,@docgroupid,bigint,Mandatory,@message,nvarchar(1000),,,Authorises a user to view a restricted document group.
[authorising].[usp_AUTHORISE_doc_group_viewer],,@user_sid_id,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[authorising].[usp_AUTHORISE_doc_group_viewer],,@inputnotes,nvarchar(max),Optional,,,,,
[authorising].[usp_AUTHORISE_form_group_owner],Authoriser,@formgroupid,bigint,Mandatory,@message,nvarchar(1000),,,Authorises a user as a form group owner.
[authorising].[usp_AUTHORISE_form_group_owner],,@user_sid_id,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[authorising].[usp_AUTHORISE_form_group_owner],,@inputnotes,nvarchar(max),Optional,,,,,
[authorising].[usp_AUTHORISE_user_role],Authoriser,@role_to_add,nvarchar(50),Mandatory,@message,nvarchar(1000),,,Authorises a user for a role by creating a record in the user_role_link table.
[authorising].[usp_AUTHORISE_user_role],,@new_user_sid_id,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[authorising].[usp_DEL_contr_doc_group_name],Authoriser,@contr_doc_ed_grp_name_id,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a controller level document edit group name. 
[authorising].[usp_DEL_contr_doc_group_name],,,,,@transaction_status,nvarchar(50),,,
[authorising].[usp_DEL_contr_doc_group_sid],Authoriser,@contr_doc_ed_grp_name_id,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a user sid to controller level document group link to revoke authorisation.
[authorising].[usp_DEL_contr_doc_group_sid],,@user_sid_id,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[authorising].[usp_DEL_contr_file_group_name],Authoriser,@contr_doc_ed_grp_name_id,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a controller level document edit group name. 
