TABLE,CREATE,READ,UPDATE,DELETE,PROCESS
[base].[booked_in_files],editing.usp_INS_book_in_file,editing.usp_SEL_book_in_files,NA,NA,
[base].[booking_log],"editing.usp_INS_book_out
editing.usp_INS_book_in","editing.usp_SEL_all_user_booking_ids
controlling.usp_SEL_booking_ids_by_date
controlling.usp_SEL_booking_ids_by_docid
controlling.usp_SEL_booking_ids_by_sidid",NA,editing.usp_DEL_book_in_id,
[base].[date_formats],NA,"reading.usp_SEL_date_styles
reading.usp_SEL_default_date_format",configuring.usp_UPD_default_date_style,NA,
[base].[document_id_list],"controlling.usp_INS_document_id
editing.usp_INS_document_id_restr","reading.usp_SEL_all_documents (doesn't retrieve files, doesn't apply filter group)
reading.usp_SEL_docs_by_trans_group (doesn't retrieve files, doesn't apply filter group)
reading.usp_SEL_one_document_data (applies filter group to docs and files, includes files)
reading.usp_SEL_doc_id_contains (applies filter group to docs and files, includes files)
reading.usp_SEL_all_doc_id_contains Does not apply a filter group. 
reading.usp_SEL_one_doc_all_data (unfiltered, includes files)
reading.usp_SEL_docs_by_file  (no filter group)
reading.usp_SEL_docs_by_filter_group (includes files)
reading.usp_SEL_number_of_all_docs
reading.usp_SEL_validate_doc_id
reading.usp_SEL_all_docs_with_ed_perm
reading.usp_SEL_all_recent_documents (doesn't apply filter group)
reading.usp_SEL_all_docs_by_file (doesn't apply filter group)
reading.usp_SEL_docs_created_between (doesn't apply filter group)
reading.usp_SEL_document_details
reading.usp_SEL_doc_id_equals (applies filter group to doc and files, includes files)","editing.usp_UPD_document_id
editing.usp_DEL_doc_transaction_group 
controlling.usp_UPD_lock_document_id 
configuring.usp_UPD_unlock_document_id 
editing.usp_UPD_doc_transaction_group",editing.usp_DEL_document_id,"internal.usp_SEL_random_doc_id
internal.usp_AUTHENTICATE_user_doc_id
internal.ufn_SEL_one_dc_data_by_frm_ITVF
internal.ufn_SEL_data_for_edit_form_ITVF
internal.ufn_CHK_filter_doc_id_SVF
internal.ufn_SEL_docs_permission_filtr_ITVF "
[base].[eula],,reading.usp_SEL_eula,,,
"[base].[file_storage]
[base].[file_metadata]
[base].[file_plain_text_content]
[base].[file_thumbnails]","editing.usp_INS_file_binary_input
internal.usp_INS_file","reading.usp_SEL_file
reading.usp_SEL_all_files (doesn't apply filter group)
reading.usp_SEL_files_by_trans_group (doesn't apply filter group)
reading.usp_SEL_files_for_one_document (applies filter group)
See also: reading.usp_SEL_all_files_for_one_doc
reading.usp_SEL_all_files_by_filename (doesn't apply filter group)
reading.usp_SEL_files_by_filename (applies a filter group)
reading.usp_SEL_files_by_filter_group
reading.usp_SEL_number_of_all_files
reading.usp_SEL_all_files_with_ed_perm
reading.usp_SEL_all_recent_files (doesn't apply filter group)
reading.usp_SEL_files_contains
reading.usp_SEL_files_freetext
reading.usp_SEL_files_containstable
reading.usp_SEL_files_freetexttable
reading.usp_SEL_all_files_contains (doesn't apply filter group)
reading.usp_SEL_all_files_freetext (doesn't apply filter group)
reading.usp_SEL_all_files_containstabl (doesn't apply filter group)
reading.usp_SEL_all_files_freetexttabl (doesn't apply filter group)
reading.usp_SEL_one_file_data (includes thumbnail)
reading.usp_SEL_files_created_between (doesn't apply filter group)
reading.usp_SEL_file_details","NA  Policy is to avoid updating files.  This provides a more robust historical record.
editing.usp_UPD_file_transaction_group 
editing.usp_UPD_filename",editing.usp_DEL_file,"internal.ufn_SEL_file_by_doc_fgroup_TVF 
internal.ufn_CHK_filter_file_id_SVF
internal.ufn_SEL_one_fl_data_by_frm_TVF
internal.ufn_CHK_sanitise_file_text_SVF
internal.ufn_SEL_files_permission_filtr_ITVF"
[base].[file_delete_log],NA,"controlling.usp_SEL_del_log_by_sid_id
controlling.usp_SEL_del_log_by_filename
controlling.usp_SEL_del_log_date_between
controlling.usp_SEL_del_log_by_file_id
controlling.usp_SEL_del_log_by_username",NA,NA,
[base].[file_read_log],NA,"controlling.usp_SEL_read_log_by_sid_id
controlling.usp_SEL_read_log_by_filename
controlling.usp_SEL_read_log_date_between
controlling.usp_SEL_read_log_by_file_id
controlling.usp_SEL_read_log_by_username",NA,NA,
[base].[global_settings_groups],NA,reading.usp_SEL_global_settings,,NA,
[base].[transaction_groups],controllingusp_INS_transaction_group,"reading.usp_SEL_transaction_group
reading.usp_SEL_all_transaction_groups
reading.usp_SEL_transaction_grp_cont",controlling.usp_UPD_transaction_group,controlling.usp_DEL_transaction_group,
[base].[units_of_measure],configuring.usp_INS_unit_of_measure,reading.usp_SEL_all_units_of_measure,configuring.usp_UPD_unit_of_measure,configuring.usp_DEL_unit_of_measure,
[com_obj].[common_object_attributes],configuring.usp_INS_com_obj_attribute,reading.usp_SEL_com_obj_attributes,configuring.usp_UPD_com_obj_attribute,configuring.usp_DEL_com_obj_attribute,
[com_obj].[common_object_list_names],configuring.usp_INS_com_obj_list_name,reading.usp_SEL_com_obj_list_names,configuring.usp_UPD_com_obj_list_name,configuring.usp_DEL_com_obj_list_name,
[com_obj].[common_object_lists],controlling.usp_INS_common_object_lst_item,reading.usp_SEL_all_common_obj_lists,controlling.usp_UPD_common_object_lIst_item,controlling.usp_DEL_common_object_lIst_item,
[com_obj].[common_objects],controlling.usp_INS_common_object,"reading.usp_SEL_all_common_objects
reading.usp_SEL_com_obj_by_list",controlling.usp_UPD_common_object,controlling.usp_DEL_common_object,
[com_obj].[doc_to_com_obj_ms_list_links],editing.usp_INS_doc_to_com_obj_ms_link ,"reading.usp_SEL_dc_cm_obj_ms_lnk_by_dc
reading.usp_SEL_all_doc_com_obj_ms_lnk
reading.usp_SEL_docs_by_co_ms_attr (applies filter group, includes files)
reading.usp_SEL_all_docs_by_co_ms_attr (no filter group, no files)",editing.usp_UPD_doc_to_com_obj_ms_link ,editing.usp_DEL_doc_to_com_obj_ms_link ,
[com_obj].[doc_to_com_obj_radiob_links],editing.usp_INS_doc_to_com_obj_rb_link ,"reading.usp_SEL_dc_cm_obj_rb_lnk_by_dc
reading.usp_SEL_all_doc_com_obj_rb_lnk
reading.usp_SEL_docs_by_co_rb_attr (applies filter group, includes files)
reading.usp_SEL_all_docs_by_co_rb_attr (no filter group, no files",editing.usp_UPD_doc_to_com_obj_rb_link,editing.usp_DEL_doc_to_com_obj_rb_link,
[com_obj].[file_to_com_obj_ms_list_links],editing.usp_INS_file_to_com_obj_ms_lnk,"reading.usp_SEL_fl_cm_obj_ms_lnk_by_fl
reading.usp_SEL_all_file_cm_obj_ms_lnk
reading.usp_SEL_files_by_co_ms_attr (applies filter group)
reading.usp_SEL_all_fls_by_co_ms_attr (no filter group)",editing.usp_UPD_file_to_cm_obj_ms_link,editing.usp_DEL_file_to_cm_obj_ms_link,
