Name,ApplicationRole,InputParameters,OutputParameters,ResultSets
reading.usp_SEL_all_common_obj_lists,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_common_objects,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_doc_com_obj_ms_lnk,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_doc_com_obj_rb_lnk,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_doc_date_fields,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_doc_id_contains,reader,@likestring:System.String;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64;@outputformid:System.Int64;@formname:System.String,1
reading.usp_SEL_all_doc_int_fields,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_doc_ms_attributes,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_doc_ms_lists,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_doc_radiob_attr,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_doc_radiob_lists,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_doc_real_fields,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_doc_text_fields,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_doc_xrefs_by_doc,reader,@documentid:System.String;@xref_typeid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numdocs:System.Int64,1
reading.usp_SEL_all_duty_fnct_sid_lnks,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_duty_functions,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_file_date_fields,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_file_int_fields,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_file_ms_attributes,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_file_ms_lists,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_file_radiob_attr,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_file_radiob_lists,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_file_real_fields,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_file_text_fields,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_filter_group_attr,reader,@filtergroupid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_all_filter_groups,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_fl_cm_obj_ms_lnk,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_fl_cm_obj_rb_lnk,reader,,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_all_form_defaults,reader,@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
reading.usp_SEL_all_form_fields,reader,@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@outputformid:System.Int64;@formname:System.String,1
reading.usp_SEL_all_form_groups,reader,,@message:System.String;@transaction_status:System.String,1
