Name,ApplicationRole,InputParameters,OutputParameters,ResultSets
authorising.usp_AUTHORISE_contr_dc_grp_usr,authoriser,@contr_doc_ed_grp_name_id:System.Int64;@user_sid_id:System.Int64;@inputnotes:System.String,@message:System.String;@transaction_status:System.String,0
authorising.usp_AUTHORISE_contr_fl_grp_usr,authoriser,@contr_file_ed_grp_name_id:System.Int64;@user_sid_id:System.Int64;@inputnotes:System.String,@message:System.String;@transaction_status:System.String,0
authorising.usp_AUTHORISE_doc_group_viewer,authoriser,@docgroupid:System.Int64;@user_sid_id:System.Int64;@inputnotes:System.String,@message:System.String;@transaction_status:System.String,0
authorising.usp_AUTHORISE_form_group_owner,authoriser,@formgroupid:System.Int64;@user_sid_id:System.Int64;@inputnotes:System.String,@message:System.String;@transaction_status:System.String,0
authorising.usp_AUTHORISE_user_role,authoriser,@new_user_sid_id:System.Int64;@role_to_add:System.String,@message:System.String;@transaction_status:System.String,0
authorising.usp_DEL_contr_doc_group_name,authoriser,@contr_doc_ed_grp_name_id:System.Int64,@message:System.String;@transaction_status:System.String,0
authorising.usp_DEL_contr_doc_group_sid,authoriser,@contr_doc_ed_grp_name_id:System.Int64;@user_sid_id:System.Int64,@message:System.String;@transaction_status:System.String,0
authorising.usp_DEL_contr_file_group_name,authoriser,@contr_file_ed_grp_name_id:System.Int64,@message:System.String;@transaction_status:System.String,0
authorising.usp_DEL_contr_file_group_sid,authoriser,@contr_file_ed_grp_name_id:System.Int64;@user_sid_id:System.Int64,@message:System.String;@transaction_status:System.String,0
authorising.usp_DEL_doc_group_viewer_perm,authoriser,@docgroupid:System.Int64;@user_sid_id:System.Int64,@message:System.String;@transaction_status:System.String,0
authorising.usp_DEL_form_group_owner,authoriser,@formgroupid:System.Int64;@user_sid_id:System.Int64,@message:System.String;@transaction_status:System.String,0
authorising.usp_DEL_sid,authoriser,@sidrecordid:System.Int64,@message:System.String;@transaction_status:System.String,0
authorising.usp_DEL_user_role,authoriser,@user_sid_id_to_delete:System.Int64;@role_to_delete:System.String,@message:System.String;@transaction_status:System.String,0
authorising.usp_INS_contr_doc_group_name,authoriser,@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
authorising.usp_INS_contr_file_group_name,authoriser,@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
authorising.usp_INS_grant_authoriser,authoriser,@request_id:System.Int64;@user_sid_id:System.Int64,@message:System.String;@transaction_status:System.String,0
authorising.usp_INS_revoke_authoriser,authoriser,@request_id:System.Int64;@user_sid_id:System.Int64,@message:System.String;@transaction_status:System.String,0
authorising.usp_SEL_all_doc_group_names,authoriser,,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
authorising.usp_SEL_all_doc_group_viewers,authoriser,,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
authorising.usp_SEL_all_form_group_owners,authoriser,,@message:System.String;@transaction_status:System.String,1
authorising.usp_SEL_all_user_roles,authoriser,,@message:System.String;@transaction_status:System.String;@numrows:System.Int32,1
authorising.usp_SEL_authoriser_requests,authoriser,,@message:System.String;@transaction_status:System.String,1
authorising.usp_SEL_authorisers,authoriser,,@message:System.String;@transaction_status:System.String,1
authorising.usp_SEL_contr_doc_group_names,authoriser,,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
authorising.usp_SEL_contr_doc_group_sids,authoriser,@contr_doc_ed_grp_name_id:System.Int64,@message:System.String;@transaction_status:System.String;@numrecords:System.Int64,1
authorising.usp_SEL_contr_file_group_names,authoriser,,@message:System.String;@transaction_status:System.String;@numrows:System.Int64,1
authorising.usp_SEL_contr_file_group_sids,authoriser,@contr_file_ed_grp_name_id:System.Int64,@message:System.String;@transaction_status:System.String;@numrecords:System.Int64,1
